model,comparison,left_method,right_method,dataset_name,stage,metric,left_value,right_value,delta
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0154_seed42,stage1,accuracy,0.9884259259259259,0.9861111111111112,0.0023148148148147696
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0155_seed42,stage1,accuracy,1.0,1.0,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0156_seed42,stage1,accuracy,0.9980119284294234,0.9980119284294234,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0157_seed42,stage1,accuracy,0.9900596421471173,0.9900596421471172,1.1102230246251565e-16
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0158_seed42,stage1,accuracy,0.5765407554671969,0.5785288270377733,-0.001988071570576455
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0159_seed42,stage1,accuracy,1.0,1.0,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0160_seed42,stage1,accuracy,0.5545286506469501,0.5545286506469501,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0161_seed42,stage1,accuracy,0.988909426987061,0.988909426987061,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0162_seed42,stage1,accuracy,1.0,1.0,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0163_seed42,stage1,accuracy,0.5027726432532348,0.5027726432532348,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0164_seed42,stage1,accuracy,0.9728155339805825,0.9728155339805824,1.1102230246251565e-16
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0165_seed42,stage1,accuracy,0.5262135922330097,0.5262135922330097,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0166_seed42,stage1,accuracy,0.996116504854369,0.996116504854369,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0167_seed42,stage1,accuracy,0.6504854368932039,0.6504854368932039,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0168_seed42,stage1,accuracy,0.8316831683168316,0.8316831683168316,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0169_seed42,stage1,accuracy,0.47854785478547857,0.4785478547854785,5.551115123125783e-17
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0170_seed42,stage1,accuracy,0.5577557755775577,0.5577557755775577,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage2_graph_scm_0000_seed42,stage2,accuracy,0.9447674418604651,0.9447674418604652,-1.1102230246251565e-16
tabicl-v2,ft_minus_infer,ft,infer,stage2_graph_scm_0001_seed42,stage2,accuracy,1.0,1.0,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage2_graph_scm_0002_seed42,stage2,accuracy,1.0,1.0,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage2_graph_scm_0003_seed42,stage2,accuracy,0.5294117647058824,0.5367647058823529,-0.007352941176470562
